image_path,image_name,sensor,timestamp,state,district,latitude,longitude,pixel_value,rainfall_mm,rainfall_category
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Ahmedabad,23.0225,72.5714,702.78,9.94,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Amreli,21.6032,71.2221,870.11,0.73,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Anand,22.5645,72.9289,713.0,8.11,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Aravalli,23.4619,73.3039,714.67,4.73,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Banaskantha,24.1724,72.4346,645.0,17.8,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Bharuch,21.7051,72.9959,765.33,2.76,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Bhavnagar,21.7645,72.1519,830.44,0.06,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Botad,22.1704,71.6662,851.22,0.3,Light Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Chhota Udepur,22.3108,74.0125,635.0,18.45,Moderate Rain
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India,2019-11-07 00:00:00,Gujarat,Dahod,22.8347,74.2552,664.56,16.9,Moderate Rain
