image_path,image_name,timestamp,sensor,state,Ahmedabad_rainfall_mm,Amreli_rainfall_mm,Anand_rainfall_mm,Aravalli_rainfall_mm,Banaskantha_rainfall_mm,Bharuch_rainfall_mm,Bhavnagar_rainfall_mm,Botad_rainfall_mm,Chhota Udepur_rainfall_mm,Dahod_rainfall_mm,Dang_rainfall_mm,Devbhumi Dwarka_rainfall_mm,Gandhinagar_rainfall_mm,Gir Somnath_rainfall_mm,Jamnagar_rainfall_mm,Junagadh_rainfall_mm,Kheda_rainfall_mm,Kutch (Bhuj)_rainfall_mm,Mahisagar_rainfall_mm,Mehsana_rainfall_mm,Morbi_rainfall_mm,Narmada_rainfall_mm,Navsari_rainfall_mm,Panchmahal_rainfall_mm,Patan_rainfall_mm,Porbandar_rainfall_mm,Rajkot_rainfall_mm,Sabarkantha_rainfall_mm,Surat_rainfall_mm,Surendranagar_rainfall_mm,Tapi_rainfall_mm,Vadodara_rainfall_mm,Valsad_rainfall_mm,avg_gujarat_rainfall_mm,max_gujarat_rainfall_mm
INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,3DIMG_07NOV2019_0000_L1C_SGP.tif,2019-11-07 00:00:00,INSAT3D_TIR1_India,Gujarat,9.94,0.73,8.11,4.73,17.8,2.76,0.06,0.3,18.45,16.9,9.99,21.09,7.49,0.37,19.67,2.44,8.97,24.12,6.23,5.14,14.69,4.38,0.11,8.64,8.46,29.66,4.01,5.73,6.75,2.27,0.0,7.75,9.21,8.7,29.66
INSAT3D_TIR1_India/3DIMG_07NOV2019_0030_L1C_SGP.tif,3DIMG_07NOV2019_0030_L1C_SGP.tif,2019-11-07 00:30:00,INSAT3D_TIR1_India,Gujarat,7.88,0.73,11.02,3.35,12.07,5.41,0.06,0.3,19.88,16.23,7.69,15.29,7.24,0.37,14.69,11.67,6.47,26.37,5.78,4.66,20.23,0.0,7.42,20.97,12.94,29.68,5.19,3.13,8.26,5.97,0.0,12.6,16.56,9.7,29.68
INSAT3D_TIR1_India/3DIMG_07NOV2019_0100_L1C_SGP.tif,3DIMG_07NOV2019_0100_L1C_SGP.tif,2019-11-07 01:00:00,INSAT3D_TIR1_India,Gujarat,4.63,0.73,6.32,3.07,14.0,5.74,0.06,0.3,7.12,24.95,9.36,20.36,6.48,0.37,19.7,2.44,6.14,26.8,8.72,1.96,25.26,0.0,17.44,14.54,14.11,31.06,11.98,7.26,6.71,5.04,3.95,14.8,17.81,10.28,31.06
INSAT3D_TIR1_India/3DIMG_07NOV2019_0130_L1C_SGP.tif,3DIMG_07NOV2019_0130_L1C_SGP.tif,2019-11-07 01:30:00,INSAT3D_TIR1_India,Gujarat,1.36,0.73,6.81,4.22,25.77,3.46,0.06,0.3,0.0,26.2,7.98,24.88,0.73,0.37,24.67,2.44,5.54,27.4,6.9,3.74,25.18,0.0,7.94,18.27,13.01,31.43,17.54,3.18,1.26,10.85,14.52,1.65,17.98,10.19,31.43
INSAT3D_TIR1_India/3DIMG_07NOV2019_0200_L1C_SGP.tif,3DIMG_07NOV2019_0200_L1C_SGP.tif,2019-11-07 02:00:00,INSAT3D_TIR1_India,Gujarat,1.79,0.73,7.49,0.0,27.32,4.08,0.06,0.3,0.0,27.27,15.33,26.61,3.34,0.37,28.24,2.44,2.02,28.07,11.38,2.99,27.36,3.51,0.11,4.14,24.64,31.71,17.39,2.14,0.21,18.59,4.1,2.43,2.39,9.96,31.71
INSAT3D_TIR1_India/3DIMG_07NOV2019_0230_L1C_SGP.tif,3DIMG_07NOV2019_0230_L1C_SGP.tif,2019-11-07 02:30:00,INSAT3D_TIR1_India,Gujarat,1.36,0.73,12.54,0.0,28.42,8.24,0.06,0.3,6.0,24.92,14.49,27.94,4.84,0.37,29.35,3.95,11.54,29.92,10.55,10.18,22.43,6.69,0.11,12.72,24.77,32.33,15.06,11.06,0.21,17.74,0.0,5.12,5.68,11.5,32.33
INSAT3D_TIR1_India/3DIMG_07NOV2019_0300_L1C_SGP.tif,3DIMG_07NOV2019_0300_L1C_SGP.tif,2019-11-07 03:00:00,INSAT3D_TIR1_India,Gujarat,16.53,0.73,17.46,5.88,26.6,7.09,0.06,0.3,4.98,25.55,18.24,29.34,13.28,0.37,30.32,4.54,14.54,30.75,13.17,16.64,29.58,9.21,0.11,22.22,28.02,32.83,14.58,8.23,0.21,12.65,0.0,1.22,2.39,13.26,32.83
INSAT3D_TIR1_India/3DIMG_07NOV2019_0330_L1C_SGP.tif,3DIMG_07NOV2019_0330_L1C_SGP.tif,2019-11-07 03:30:00,INSAT3D_TIR1_India,Gujarat,19.78,0.73,8.12,2.35,30.03,10.79,0.06,0.3,5.55,30.68,13.54,29.79,16.88,3.17,32.02,10.62,12.3,32.57,12.22,19.84,31.38,3.51,6.64,23.87,30.46,34.33,23.73,12.96,0.21,6.7,0.0,10.57,12.91,14.81,34.33
INSAT3D_TIR1_India/3DIMG_07NOV2019_0400_L1C_SGP.tif,3DIMG_07NOV2019_0400_L1C_SGP.tif,2019-11-07 04:00:00,INSAT3D_TIR1_India,Gujarat,2.98,0.73,2.86,20.55,34.05,14.71,0.06,0.3,0.0,21.08,14.59,31.33,8.43,13.32,32.94,13.24,2.02,34.25,26.58,16.78,32.54,7.53,11.71,0.0,26.26,35.65,27.54,15.06,13.06,6.17,0.0,11.93,31.29,15.44,35.65
INSAT3D_TIR1_India/3DIMG_07NOV2019_0430_L1C_SGP.tif,3DIMG_07NOV2019_0430_L1C_SGP.tif,2019-11-07 04:30:00,INSAT3D_TIR1_India,Gujarat,4.31,0.73,11.99,0.0,32.63,10.14,0.06,8.97,5.62,2.58,17.08,33.13,4.99,15.09,34.29,20.89,15.95,35.8,13.8,5.69,34.06,11.79,12.54,0.0,28.34,36.85,29.21,3.46,5.91,31.42,4.65,8.93,30.04,15.48,36.85
