image,image_path,state,location,latitude,longitude,rainfall_mm
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Ahmedabad,23.0225,72.5714,9.94
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Amreli,21.6032,71.2221,0.73
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Anand,22.5645,72.9289,8.11
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Aravalli,23.4619,73.3039,4.73
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Banaskantha,24.1724,72.4346,17.8
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Bharuch,21.7051,72.9959,2.76
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Bhavnagar,21.7645,72.1519,0.06
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Botad,22.1704,71.6662,0.3
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Chhota Udepur,22.3108,74.0125,18.45
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Dahod,22.8347,74.2552,16.9
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Dang,20.7554,73.6873,9.99
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Devbhumi Dwarka,22.2078,69.6582,21.09
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Gandhinagar,23.2156,72.6369,7.49
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Gir Somnath,20.9042,70.3644,0.37
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Jamnagar,22.4707,70.0577,19.67
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Junagadh,21.5222,70.4579,2.44
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Kheda,22.6916,72.8634,8.97
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Kutch (Bhuj),23.242,69.6669,24.12
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Mahisagar,23.1311,73.6009,6.23
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Mehsana,23.588,72.3693,5.14
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Morbi,22.8173,70.8368,14.69
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Narmada,21.8719,73.5028,4.38
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Navsari,20.9467,72.952,0.11
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Panchmahal,22.778,73.6143,8.64
3DIMG_07NOV2019_0000_L1C_SGP.tif,INSAT3D_TIR1_India/3DIMG_07NOV2019_0000_L1C_SGP.tif,Gujarat,Patan,23.8493,72.1266,8.46
